0,1,2,3,4,5,6,7,8,9
-5.017943562189813,-6.668217174787736,-7.502100455074332,-8.102585602841383,-8.81675034604701,-8.845659163078876,-9.08090313548805,-9.324542534622083,-9.563882259322018,-9.937114170835022
-5.025491462005626,-6.2637637254330105,-7.315397014228689,-7.752853666873274,-7.796525228353751,-7.915519812449923,-8.237594029303308,-8.430940478320124,-8.607688279561145,-8.814136409879596
-4.286188436507458,-5.351398190172403,-5.313475455856346,-5.250896234627211,-5.781976402837752,-5.426366308924862,-5.812153511753517,-6.154945120778604,-6.498566823603188,-7.274502744383122
-4.991920009333124,-6.42248220554625,-7.44724233712707,-7.995799209970528,-8.445665810821678,-8.373915929375249,-8.533540645176535,-8.655072199078585,-8.869034009824672,-9.254623309494425
-5.140714351535418,-6.591538763102257,-7.47191164368556,-7.845215917629867,-8.259176925260332,-8.209256411062261,-8.381589741469908,-8.607834817842912,-8.81001819196908,-9.338860516437961
-4.4708945558439765,-5.454112322552182,-5.611141218942533,-5.673395648547029,-5.9978244491342565,-5.946651659733511,-6.207235720445433,-6.462448762043618,-6.725276120753808,-7.155479421370752
-4.541434214385921,-5.957750972861638,-6.920251325607244,-7.3248281123058225,-7.774379299113553,-7.667163551543413,-7.842227216516535,-8.056206207458414,-8.26189717519693,-8.655668493355208
-4.784166977946883,-6.543165337394015,-7.243621329543659,-7.438300664054594,-7.795405805168147,-7.662630545363029,-7.839367140752331,-7.958183749118326,-8.051780449199436,-8.505969449612557
-4.6538692299377376,-6.11856341969432,-7.140046730561304,-7.666000847985309,-8.17612833329667,-8.04513529426104,-8.265406660665993,-8.46631056460473,-8.621976297355518,-9.01934201109658
-4.977714376247402,-6.352387681086771,-7.1531370533012755,-7.2969161656199235,-7.791268947167291,-7.486085702034183,-7.608216429020702,-7.751134351336052,-7.942331105819836,-8.42098075315893
-4.371200641768022,-5.719006896706426,-5.863341202198835,-5.964722614318383,-6.276897168766503,-6.208397560963864,-6.464015707626281,-6.698203664699725,-6.963765612365693,-7.378585909723867
-4.060119327495383,-5.288985707720661,-5.357465454785407,-5.3666555916747365,-5.723721137751443,-5.5882228659849895,-5.815657666985109,-6.042314968294914,-6.458841281195775,-6.907091900962973
-3.9121795291048387,-5.200809705098606,-5.192116379895563,-5.281286927296252,-5.6784466178967135,-5.4982093253692135,-5.721450301589155,-5.9962617610921125,-6.219445754462406,-6.805543212277638
-1.0968145535491418,-2.365847684862942,-3.126618704721568,-3.6343559219684636,-3.716323888964739,-4.020808602712643,-4.649629790609831,-4.941546347057505,-5.239362657567898,-5.2616105407918425
-4.7878294375521895,-5.582192748478559,-5.571616474512656,-5.642049303482735,-6.049467097378139,-5.869552775237825,-6.049279728214654,-6.242456812240495,-6.483304902773174,-7.068315233409261
-4.567840061389348,-5.967441642559168,-6.407457011281283,-6.52051984601337,-7.0731364520706705,-6.949546860537333,-7.260574996721867,-7.635958253474224,-8.007095617716358,-8.604250543663262
-4.981729488700832,-5.948788441703962,-6.3413937469435275,-7.402097328017249,-8.181798067855159,-8.30450620179416,-8.597620238853741,-8.929866571117394,-9.207053633434244,-9.639094666326478
-4.12039731050881,-5.568940803941673,-6.385035491473552,-6.79264367204925,-7.17391670129993,-7.179640976257861,-7.41401338241815,-7.703445519257198,-7.996626703568856,-8.390070388365372
-4.08040758891651,-5.157101601168299,-5.958649367755614,-6.243033804972856,-6.611808440064956,-6.341920657783099,-6.396430724921816,-6.413027981841052,-6.812309569664173,-8.237822939070778
-2.622419238268735,-3.9028113351868305,-3.9947380474811403,-4.0590005709375445,-4.651462619700878,-4.321199731429937,-4.562478260771421,-4.841232519935454,-5.140928746383052,-5.813117554363736
-3.5801112651864258,-4.670158087436414,-4.788593485431334,-4.807256950358678,-5.230883375264176,-4.8716520152509935,-4.862973936654328,-4.858921241244363,-5.094638195643582,-6.445415726733722
-2.760340150382111,-4.163744474230512,-4.746588561685344,-5.146770943420114,-5.806029855388105,-5.75481788872164,-6.003995232432841,-6.173567629287501,-6.4130712729141415,-6.996569388414075
-3.9335295551936924,-5.286959046383134,-5.638690958358409,-5.627555897564654,-6.044275627240276,-5.653178125846287,-5.70453509393812,-5.768229807323111,-6.045313531464325,-7.458093716357113
-3.7341493534549377,-5.127422094917767,-5.3361880079492074,-5.505313951388036,-5.940435849836473,-5.639992592593467,-5.747977030560532,-5.861041019841052,-6.196087719345933,-7.70203162731271
-4.11514760265424,-5.389351857848291,-5.9438830166672325,-6.131589405609637,-6.551166055872784,-6.303580388298867,-6.371353956582729,-6.430736513603181,-6.67480640501704,-7.792925050264213
-4.0582757263723135,-5.572303457092751,-6.098902551635808,-6.277626213591925,-6.716782002226001,-6.476485873576905,-6.519607557475467,-6.552531719863441,-6.771040462020707,-7.73871633981743
-3.876915409129992,-4.957012637053947,-5.587192519617752,-5.792377041653834,-6.185806782730534,-5.960027820075443,-6.049525982554328,-6.160200728386878,-6.5117139723108135,-7.927763243652422
-4.156432525703852,-5.186834596497784,-5.776259325528081,-5.966460852207163,-6.44507180149964,-6.153688430693381,-6.233116524844029,-6.321487068478384,-6.593969031289754,-7.8876391665000165
-2.6646553210541337,-4.119141399226287,-4.597775877018537,-4.954028985429696,-5.472625791437503,-5.168947953010734,-5.3965169797984105,-5.5525615008606755,-5.730036383294155,-6.376098978407923
-4.254267291190841,-5.0925163156079165,-5.458977429238159,-5.831910314828872,-6.408633155529105,-6.08052991794812,-6.355387685217442,-6.579731442151227,-6.804722516409237,-7.319869021119948
-4.193663718005252,-5.523201885172555,-5.6886810441732605,-5.700645473340834,-6.049234416472549,-5.693961510393011,-5.7725543828071455,-5.873789828197261,-6.190717946385071,-7.69972262171139
-5.850004078313821,-6.576851613807094,-6.675052497585145,-6.595079348076347,-6.861197088051528,-6.7325258343967835,-6.871579339896908,-6.999508091644633,-7.398406210930037,-8.597306540016536
-5.317902130128841,-6.3360219279672645,-6.38298454392885,-6.4146243093528135,-6.752740942011336,-6.584441781244034,-6.7717123602859495,-6.948519059131771,-7.351806852324967,-8.760001765691085
-5.547761590316584,-6.76461423739232,-6.884077016833682,-6.971483904086099,-7.342706588596825,-7.1468252673721295,-7.275257549125092,-7.473167060479649,-7.818965115262743,-9.317943456143452
-5.102545006409791,-5.854902702807554,-5.939955609923484,-5.910871879717661,-6.257541774930351,-6.1109638507303625,-6.230581106968983,-6.327914454392067,-6.751890696417501,-8.23768808462182
-4.455912206928319,-5.685749554740025,-5.834159450018438,-5.785844546485065,-6.148736019326515,-5.8501547105382175,-5.962447116577911,-6.035049824610895,-6.386013004111698,-7.88252640351481
-3.5248612016144882,-4.685237096202832,-4.725485806416274,-4.6524897708079305,-4.974235319343362,-4.619938210256763,-4.6181956806286495,-4.620142674735457,-4.870656009905882,-6.3012849507179265
-4.198478840602082,-5.0258462376175785,-4.919621603490487,-4.881918041837846,-5.171264293032662,-4.868075267528391,-4.9736311521475915,-5.058174506807246,-5.371866052175081,-6.91342002955792
-4.397378799424734,-5.618784987545697,-6.067709481112066,-6.16970852341487,-6.545835616745553,-6.282679865495261,-6.3444396674236705,-6.452616520477143,-6.7915408562176935,-8.203882422337038
-3.9534294129798866,-4.810338726409427,-4.877265820802991,-4.939644159492241,-5.294893470473591,-5.078594447372787,-5.157748393380546,-5.190893568473734,-5.459066209835812,-6.861091811187296
0.002613009899244872,-1.0667913678000283,-1.6874162353167137,-2.1284452722948277,-2.8149201123975462,-2.7003869698475413,-2.9251563072623536,-3.134653892641726,-3.4505491177403287,-4.524238639456602
-4.164139038431324,-6.130327686482098,-7.10391773022509,-7.55727504279926,-7.957411847343692,-7.9561318930221425,-8.038930095990258,-8.099743595771923,-8.366853725990955,-9.50967562777434
-4.21379902615774,-6.0089197688552805,-6.908816594736525,-7.177669375076216,-7.670074966487037,-7.471345665226169,-7.5933142525801305,-7.680553678605747,-8.010760006576561,-9.351145080297009
-4.196140245561463,-6.053375488905957,-7.041277101591676,-7.521895951007918,-7.82901901336769,-7.813032068561775,-7.929382837035458,-7.992134867057673,-8.284481658880745,-9.362601803504988
-4.448461392755925,-6.357371870308332,-7.4966993541502,-8.085464418436374,-8.451272783287584,-8.455672799498213,-8.532880208295023,-8.546365905124517,-8.783930349807042,-9.69639895989533
-4.157819411298573,-6.031632954426565,-7.1710470850461165,-7.931906519801873,-8.479698960898338,-8.50364371669357,-8.51505807042589,-8.580455513692856,-8.927645625905388,-9.816156047874326
-4.48876486978542,-6.291381962697049,-7.076145960092016,-7.353841512054218,-7.7973008668318915,-7.629508027738049,-7.715314466621238,-7.742461317096959,-7.982992981842466,-9.278249564761072
-4.085577383147228,-5.597321385969929,-5.922064889748198,-5.985015537584786,-6.393412745516879,-6.1152216593328035,-6.240487515439578,-6.331090144702024,-6.580948124589049,-8.006377201664662
-5.1166149655146365,-6.248342668434335,-6.986567896570661,-7.2374540945521595,-7.741769500437509,-7.475638640554735,-7.886227168489248,-8.082016944088352,-8.306865853964444,-9.029979247900707
-5.21285814981561,-5.750992482404694,-5.9579330932356855,-5.986944487798171,-6.4292699604353665,-6.3257361557003025,-6.562066962725642,-6.838564740110823,-7.165708687115062,-7.730433469675495
-5.112848394155773,-6.433318134816248,-7.215994770878269,-7.522942593529332,-7.974463696888262,-7.834079880052313,-8.053018354258036,-8.271643711700913,-8.517513045487373,-8.988877419309144
-5.033270958758304,-6.345411637990071,-6.916943789123003,-7.009776409627806,-7.459504890798843,-7.4103265088811225,-7.5661356477301185,-7.804169041938763,-8.16398531295374,-8.703440091576162
-4.7629659802679045,-6.033878772417772,-6.5640510457721595,-6.677507965285778,-7.032916441820467,-6.932141641267585,-7.118435588964218,-7.355166152041897,-7.605053960605535,-8.009288988335173
-4.12582074540087,-4.315997779324002,-4.286122675306944,-4.410073258429994,-4.940285351714751,-4.826154159602401,-5.106326849140405,-5.436632994375602,-5.779071433372708,-6.425284062652987
-5.027980796521521,-5.107280366461639,-5.030087843283457,-5.117175998987556,-5.659064017819029,-5.591375476677885,-5.888705303520885,-6.245482521862804,-6.668020039800385,-7.262583107095447
-5.265704995268451,-6.5324804835697,-7.254641478227215,-7.414339912931752,-7.845260107745819,-7.766269706656714,-7.981492806020817,-8.194095220932201,-8.498998955705204,-8.935378221760722
-4.959424825786791,-5.6343244101293335,-5.802267501501997,-5.874711470122962,-6.356037935106681,-6.2154764061931465,-6.473749862329308,-6.794915077782671,-7.124485319607907,-7.764980552634701
