0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-1.4832974926209086,-2.6334242154426466,-2.928450127475657,-3.1140927940013383,-3.374334016213568,-3.6449238429637947,-3.975062969972598,-4.452301465405813,-4.4913711825075096,-4.593942167018136,-4.417244704405254,-4.400624435537342,-4.381021911596929,-4.547473059142644,-4.722423365949984,-4.976065801405924,-5.130594423748394,-5.072928347924151,-5.014550612900515,-4.840518489192027,-4.838607400940309,-4.884258452781991,-5.033842217352207,-6.129418861527068,-6.200323129089642,-5.3460254700108685,-5.269144007208801,-5.228945590421051,-5.061947813095266,-5.081937022871626,-5.199821816195761,-5.338402738924963,-5.475155706966688,-5.539240367546378,-5.4741852212696225,-5.424504471008491,-5.35053387376902,-5.254033170802265,-5.317325058267258,-5.461780427690232,-5.552372007249221,-5.637047974857693,-5.717963804299205,-5.631876205136018,-5.437197575517061,-5.295293735386419,-5.279340556921439,-6.300543642813743,-6.5738556890864,-5.780915264980111
-2.9000340685070713,-4.1268880805946795,-4.3653561950646695,-4.5750342019862185,-4.882662261196925,-5.181801782893055,-5.396808810017314,-5.576291454020395,-5.691013773251922,-5.923016442460453,-6.086873191775198,-6.197057654402911,-6.175627761353526,-6.3160583616484915,-6.323809966053005,-6.382029933512448,-6.3330918730194545,-6.293403934279706,-6.393231161727832,-6.361629345120197,-6.391857516413323,-6.363925811195106,-6.34149901717689,-7.264059170614034,-7.404836793885684,-6.335661294328978,-6.41538462415148,-6.383145634871336,-6.466269803099409,-6.344809460241755,-6.4264448100857745,-6.413833582741275,-6.4571940973378625,-6.49961229893347,-6.428426012626909,-6.398494065904352,-6.514041551435465,-6.450631399301221,-6.522175648753542,-6.436490177686602,-6.551173680650419,-6.656113966579447,-6.637488620719707,-6.817982412815943,-6.986963707049531,-7.1913348709327,-7.362546768827472,-8.325703184393479,-8.4995134776757,-7.7204012340924875
-3.2741698019035175,-4.495945246198062,-4.325303859469872,-4.369631783590343,-4.709046642299036,-5.15514391069487,-5.239655452154976,-5.204250389966275,-5.083220848526976,-5.210380836452676,-5.25646452689699,-5.351446009826831,-5.411750882825197,-5.449962058721452,-5.50048376922972,-5.517813733053364,-5.525619332768408,-5.508539794056345,-5.50819605415226,-5.486550692136772,-5.486646193620652,-5.497027457766821,-5.508967556607516,-6.310905572057662,-6.293355893735953,-5.541559808199341,-5.53742131078405,-5.562620753286153,-5.5802833442185635,-5.572798415565389,-5.577125844047807,-5.601569249779741,-5.609379920450579,-5.629231355096494,-5.628554754357565,-5.660955038063575,-5.6574307519573335,-5.6568937349279445,-5.675933143532573,-5.684748978802464,-5.708069591052934,-5.7730691498893805,-5.885223838547707,-6.01810211639953,-6.227006142808208,-6.450610465792116,-6.661382701287468,-7.6244333820702135,-7.763987219537358,-7.135021973439135
-3.588477714242104,-4.746891958761691,-4.884330986324267,-4.654969612847368,-5.053345292044366,-5.482498190883356,-5.443893459484599,-5.426291481854106,-5.326193676522644,-5.454751645136711,-5.706339588436552,-5.8810405860878845,-5.933376307289915,-5.95933640590885,-6.0273902306432,-6.086380950983864,-6.098614442572851,-6.088531231256916,-6.094893566359196,-6.112213978826195,-6.193829774690208,-6.208121815990002,-6.241962951599824,-6.983743341776961,-6.9571340577353205,-6.322254775242745,-6.345892295566318,-6.3171196867780495,-6.408417541932857,-6.408828589360796,-6.418978063773509,-6.465497593373276,-6.485079161804269,-6.506919032281519,-6.512276700568716,-6.534605722676499,-6.584877864311155,-6.590164270749196,-6.541535872732494,-6.59100084459343,-6.680479591119233,-6.733508812369018,-6.860294364041995,-7.022952400150884,-7.264118919453973,-7.556853445589474,-7.757850840089078,-8.98424832642585,-9.297676663138734,-8.503364628603949
-3.4826899011193424,-4.844056936032963,-4.738009616423288,-4.720973950079599,-5.122295249623869,-5.448752712252113,-5.593052959249507,-5.588765990510791,-5.507263693376733,-5.604043680936982,-5.700334793594991,-5.760652519478444,-5.826285620686539,-5.883250567000901,-5.951492647077458,-5.98082949711465,-6.005027467824968,-5.978219460676737,-5.973197640357368,-5.951788546108183,-5.945029378273568,-5.965433952908178,-5.980660227726995,-6.9107576231420875,-6.951574928310747,-5.990644691457518,-6.016708217180607,-6.032699120139504,-6.050405908433606,-6.070102728956782,-6.076593849942407,-6.099445313396384,-6.076756397891173,-6.0884580892176405,-6.101226510644424,-6.0899804721942346,-6.1210508772303465,-6.14631790378743,-6.09937235455173,-6.158733892339491,-6.169002299217202,-6.225933009761597,-6.336754957330426,-6.481606494178955,-6.645833025416771,-6.846799982905012,-7.078592286040412,-8.221076355372103,-8.258040933983645,-7.533741013917783
-3.090909322821701,-4.254023667322932,-4.369689360719843,-4.241605739535031,-4.656803882882217,-5.01137274877877,-5.084191408213737,-5.146279407830709,-5.1214162032830375,-5.302156587876537,-5.446719034549303,-5.521245191006141,-5.535806049976426,-5.570833763136257,-5.642312701722374,-5.653525186476524,-5.663153625684072,-5.629182966992007,-5.656137006334962,-5.658591465875262,-5.672315358572146,-5.656877259261826,-5.706563008931634,-6.38123420720312,-6.416857078203652,-5.760616160800955,-5.735340033655975,-5.722539278564155,-5.742830406940201,-5.701762347071928,-5.743045665840611,-5.769702298491792,-5.806497825672639,-5.793389557060553,-5.819516041150534,-5.830395222441482,-5.870054137889225,-5.901836338632657,-5.872993634056817,-5.8734191869466725,-5.944854217841636,-6.003448293453302,-6.125770847607859,-6.307637873475914,-6.525149240157994,-6.83099357354087,-7.095169239501818,-7.904655108057584,-8.255739687865884,-7.7504722629581995
-3.170337981057238,-4.065899535267877,-4.705911167706101,-5.224781929687398,-5.460083319748462,-5.642657352218724,-6.14515312050502,-6.416313915023153,-6.554348465404868,-6.726928690124151,-6.857901823203046,-6.999780998375586,-7.105207624984405,-7.2268395967184365,-7.3533184894311105,-7.4034512203460245,-7.48839507049986,-7.502656935155027,-7.530257485280228,-7.5950985529350605,-7.791293725628577,-7.855577063755348,-7.835806524463205,-8.555824251578112,-8.681118421632664,-7.884373627483905,-7.956578796171472,-7.967466571580453,-7.92547731117398,-8.117966471104639,-8.156997120882801,-8.16914677509038,-8.274687788239813,-8.25097450228981,-8.346579865228486,-8.414217538846417,-8.423880093367073,-8.440500179097864,-8.465548005444077,-8.498684951869855,-8.556761367312937,-8.521774271439355,-8.487714488544576,-8.642000652718123,-8.759223218238796,-8.733562069537502,-8.767336877934342,-9.384596446482075,-9.472049081330574,-8.847611746591989
-3.529825108671105,-4.534808538995546,-5.1019329175122685,-5.466359168020683,-5.467175341769842,-5.79905296188778,-6.1343392053410755,-6.264991923344336,-6.371504153937692,-6.535973236441793,-6.789633980953782,-7.025446928141386,-7.183969659034381,-7.31090277667951,-7.412765110864706,-7.481275060761959,-7.558003126970173,-7.6488261876590755,-7.713634612218225,-7.757670327328556,-7.751619055600175,-7.815476680976796,-7.82870374520936,-8.46057694532014,-8.514556232163336,-7.842628960654729,-7.872315554484459,-7.874669587335991,-7.844849192403916,-7.880340402033847,-7.907759828761008,-7.904702189026955,-7.948585349202606,-7.9680018651020665,-7.945448914017854,-7.977167507360983,-7.899967793744186,-7.97673360878608,-7.954041728457385,-8.020684639949957,-7.986187457689071,-8.097252860009068,-8.147730713841419,-8.403840498917942,-8.570774364407008,-8.821389913958654,-9.05915740503148,-9.77731369278892,-9.969515036547236,-9.645094323930287
-2.5983709282900405,-2.6245865872271343,-3.084102894390989,-2.586441447213378,-2.6374606321319325,-3.0267324310314874,-3.4808669132260928,-4.442225649231279,-4.500557886349408,-4.294101866823733,-4.418769748530305,-4.774212901241322,-5.320788529428274,-5.20624635389633,-4.731066651883987,-4.632169572733442,-4.871480612869827,-5.230201365291042,-5.502955912348603,-5.703926677883598,-5.79229291773253,-5.758650791676556,-5.5884948046726155,-6.243646245941213,-6.524168884532964,-5.743518778113469,-5.799240749757231,-5.778269752185185,-5.809521203073054,-5.828208662066152,-5.887553378737012,-5.91598392159044,-5.955427770922432,-5.902985719973051,-5.916193573073169,-5.943409846989832,-5.983276873101589,-5.937607182355726,-6.1077442719944095,-6.071314408259592,-6.136721029472377,-6.161940170059529,-6.276130884369906,-6.450341818840713,-6.744627566949991,-6.936293986450004,-7.217641236960545,-8.308108804408352,-8.542209680297255,-7.922298670613936
-2.3746009572742057,-2.8401314087568266,-3.184913197220518,-3.5956553196671694,-3.9231289699253074,-4.234788260633454,-4.664549230155691,-4.936763433539121,-4.8129267187243086,-4.632100776588165,-4.701935528614272,-4.836344327710519,-5.015351916814419,-5.445001073441391,-5.712939646699902,-5.595188066468852,-5.2531289918665935,-5.209672155121245,-5.301164587961586,-5.405936092403145,-5.743202011467253,-6.07687372112787,-6.029250911330536,-6.96017704320345,-6.615073958257211,-5.618707000189752,-5.677997232711882,-5.896877077532367,-6.299727129563518,-6.3457469305851255,-6.046809276230847,-5.874397245244614,-5.8963763981737465,-5.922568471579098,-6.052631275752131,-6.4281651527362715,-6.568250143177948,-6.384246364093244,-6.157720712851769,-6.130207901028974,-6.120533023749212,-6.205399891851307,-6.6029505862131135,-7.097539480394187,-7.280758292330648,-7.33367907897945,-7.42810288966646,-8.363980063368794,-8.519723842355997,-7.9162329540567224
