0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-3.5135632272579604,-4.470212657143839,-5.032256929582184,-5.48656507645216,-5.807034425314073,-6.141974597482279,-6.245854754307028,-6.352924797406995,-6.313244599075163,-6.377427622132039,-6.377889338100201,-6.802855909894917,-6.870160020335509,-6.399262445165922,-6.405529518403068,-6.420138146352964,-6.478406730042543,-6.413457547013613,-6.482331195588814,-6.479325778709574,-6.603652561357308,-6.727750545393312,-7.089166305740815,-7.8442051728149345,-8.109957355884093
-3.8850996107006104,-4.347469348499591,-4.932095276496954,-5.221952921060625,-5.146805222785654,-5.303955268361911,-5.430856470773324,-5.5091493481089495,-5.517078975071395,-5.4973726275240535,-5.491836825693737,-5.909908939874598,-5.917457850967647,-5.550021900083414,-5.576540622057713,-5.589348388918793,-5.61930632159836,-5.64475601230715,-5.6571622249439475,-5.680341364847685,-5.740571609518999,-5.951662977473619,-6.3388006017743965,-7.142874867352945,-7.44952626253186
-4.1676848365018975,-4.769611751455821,-5.267885672132978,-5.43509394957858,-5.390472660829677,-5.793675404038344,-5.946354175445071,-6.0568855908135335,-6.093572836914883,-6.103553772592695,-6.2009757953401055,-6.612790801723678,-6.6396410742539045,-6.331505991172184,-6.408623065646826,-6.4422378285733926,-6.495999097042894,-6.523441211622609,-6.587521067530176,-6.5662683586629615,-6.706994201744124,-6.94162338209644,-7.4104861825217245,-8.370946507321479,-8.90052064587134
-4.163373418576152,-4.729491783251443,-5.285523980937992,-5.5909094748801484,-5.555653687156858,-5.7304936565367175,-5.85476809384372,-5.966161072096054,-5.991623464250853,-5.9624930932327755,-5.955231665590873,-6.445708925434541,-6.471109809884132,-6.024703668660056,-6.060254318695194,-6.088019581669396,-6.082607243554406,-6.095603491419329,-6.133684390508888,-6.12905312344561,-6.1974676544894,-6.40918072575469,-6.746316504160891,-7.649834320706258,-7.895941279543162
-3.672466495072316,-4.305630495051381,-4.834064706237613,-5.1152312748841835,-5.211786395579787,-5.483987075233207,-5.55331757479538,-5.647918944099449,-5.646168296338039,-5.657364236105112,-5.664595280943933,-6.043898608067378,-6.088692934179616,-5.728939656110065,-5.7222963770060655,-5.756373982166201,-5.799943691366596,-5.824955631796008,-5.885945238260941,-5.873206410501746,-5.974147354057669,-6.216704360541887,-6.6780714068494325,-7.499912173779701,-8.00310597541204
-3.618186144284018,-4.96538559089103,-5.551384073683554,-6.280753921134629,-6.640651563484954,-6.928852086423264,-7.166032762993764,-7.378388627103084,-7.495527075954956,-7.5626828980442635,-7.823440231662476,-8.195869565426761,-8.282686073858951,-7.962023503121667,-8.021736374898522,-8.163072862181789,-8.262829360969405,-8.380403791403413,-8.432191386803252,-8.482118972031415,-8.539265186788045,-8.564869179823535,-8.746390713026697,-9.07601310762345,-9.15978342845829
-4.032316823833326,-5.284146042766476,-5.633114151828811,-6.199665564342707,-6.453738695189742,-6.907540454547584,-7.247436217856945,-7.447020085813333,-7.603414657314624,-7.735652469773391,-7.783547868288486,-8.14464034526475,-8.178592596409032,-7.8734925709102255,-7.862594797218881,-7.9062310088939824,-7.958293607152337,-7.961308210689419,-7.938350701265134,-7.987363184203671,-8.041720158849069,-8.275785606379682,-8.696082139182831,-9.4182355489102,-9.807329150046622
-2.6114809369488565,-2.835230802435835,-2.8321288900022337,-3.9616261946730758,-4.397312714822686,-4.596520871282547,-5.263507920284452,-4.68160989143763,-5.050870807929347,-5.603458000915397,-5.775469058185336,-5.9161249851108435,-6.133778939377545,-5.78875350774614,-5.8188664859743415,-5.901771013467372,-5.929202386175011,-5.9298039723984095,-5.960438231411888,-6.089526311875651,-6.149332696120117,-6.363250832979746,-6.840476709070695,-7.762965666367528,-8.232254175455596
-2.607366183015516,-3.3902842584438444,-4.07895861527938,-4.800656331847406,-4.722513747656237,-4.769139928162396,-5.230176495127905,-5.6540638565843775,-5.23140057349392,-5.353550340182366,-5.910037866297562,-6.494713977266994,-6.116890479223482,-5.787437155122125,-6.322737030074322,-5.96060326073773,-5.909472434876422,-6.240398214244202,-6.476248253635595,-6.143964306940371,-6.16296645780026,-6.8502450333036515,-7.30721868565505,-7.8960414765176274,-8.218032194862475
-4.276308054665127,-5.2972911468665105,-5.785144284095774,-6.045619299305354,-6.5525920325059035,-7.080809710946877,-7.439720778524142,-7.731129439861696,-7.886698425490134,-8.054853389469029,-8.118451193492028,-8.46329483531312,-8.525273343655126,-8.209145997880954,-8.255100386664832,-8.258567528744493,-8.31857806709106,-8.306044083992015,-8.35208314244698,-8.361242994971281,-8.442551177095115,-8.715412627625586,-9.044261599755865,-9.89614500373117,-10.326450927736369
